ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/9/2023,9/10/2023 9:13,16:00,16:15,1.17,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,16:15,16:30,1.399,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,16:30,16:45,1.703,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,16:45,17:00,1.651,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,17:00,17:15,1.372,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,17:15,17:30,1.404,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,17:30,17:45,1.243,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,17:45,18:00,1.108,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,18:00,18:15,0.783,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,18:15,18:30,0.629,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,18:30,18:45,1.199,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,18:45,19:00,1.166,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,19:00,19:15,0.854,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,19:15,19:30,1.074,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,19:30,19:45,0.996,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,19:45,20:00,0.982,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,20:00,20:15,1.186,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,20:15,20:30,1.215,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,20:30,20:45,1.135,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,20:45,21:00,1.208,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,21:00,21:15,1.08,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,21:15,21:30,0.792,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,21:30,21:45,0.917,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,21:45,22:00,0.914,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,22:00,22:15,1.285,A,Consumption
